,character,role,movie,line,line_sw,line_sw_stem
10457,peter parker,hero,spider-man: homecoming,just swear it okay,swear okay,swear okay
10459,peter parker,hero,spider-man: homecoming,thank you,thank,thank
10461,peter parker,hero,spider-man: homecoming,i can’t believe this is happening right now,can’t believe happening right,can’t believ happen right
10463,peter parker,hero,spider-man: homecoming,no,,
10465,peter parker,hero,spider-man: homecoming,i’m gonna tell you about this at school tomorrow okay,i’m gonna tell school tomorrow okay,i’m gonna tell school tomorrow okay
10467,peter parker,hero,spider-man: homecoming,this is the stark internship,stark internship,stark internship
10469,peter parker,hero,spider-man: homecoming,just get out of here,get,get
10471,peter parker,hero,spider-man: homecoming,i’m just stressed the internship and i’m tired a lot of work,i’m stressed internship i’m tired lot work,i’m stress internship i’m tire lot work
10479,peter parker,hero,spider-man: homecoming,yeah yeah yeah yeah of course,yeah yeah yeah yeah course,yeah yeah yeah yeah cours
10481,peter parker,hero,spider-man: homecoming,i uh i need a new backpack,uh need new backpack,uh need new backpack
10483,peter parker,hero,spider-man: homecoming,i need a new backpack,need new backpack,need new backpack
10489,peter parker,hero,spider-man: homecoming,i think he larbs you,think larbs,think larb
10491,peter parker,hero,spider-man: homecoming,the spider’s dead ned,spider’s dead ned,spider’ dead ned
10493,peter parker,hero,spider-man: homecoming,yeah,yeah,yeah
10495,peter parker,hero,spider-man: homecoming,what no,,
10497,peter parker,hero,spider-man: homecoming,no,,
10499,peter parker,hero,spider-man: homecoming,no ned,ned,ned
10502,peter parker,hero,spider-man: homecoming,it’s unknown shut up,it’s unknown shut,it’ unknown shut
10505,peter parker,hero,spider-man: homecoming,shut up ned,shut ned,shut ned
10506,steve rogers,hero,spider-man: homecoming,hi i’m captain america whether you’re in the classroom or on the battlefield,hi i’m captain america whether you’re classroom battlefield,hi i’m captain america whether you’r classroom battlefield
10508,peter parker,hero,spider-man: homecoming,yeah we met,yeah met,yeah met
10509,steve rogers,hero,spider-man: homecoming,fitness can be the difference between success or failure,fitness difference success failure,fit differ success failur
10510,peter parker,hero,spider-man: homecoming,i stole his shield,stole shield,stole shield
10512,steve rogers,hero,spider-man: homecoming,today my good friend your gym teacher will be conducting the captain america fitness challenge,today good friend gym teacher conducting captain america fitness challenge,today good friend gym teacher conduct captain america fit challeng
10515,peter parker,hero,spider-man: homecoming,shh,shh,shh
10517,peter parker,hero,spider-man: homecoming,shh,shh,shh
10519,peter parker,hero,spider-man: homecoming,you have to shut up,shut,shut
10521,peter parker,hero,spider-man: homecoming,ned just shh okay,ned shh okay,ned shh okay
10523,peter parker,hero,spider-man: homecoming,what,,
10525,peter parker,hero,spider-man: homecoming,ned i don’t need a guy in the chair,ned don’t need guy chair,ned don’t need guy chair
10538,peter parker,hero,spider-man: homecoming,no i don’t no i i mean,don’t mean,don’t mean
10541,peter parker,hero,spider-man: homecoming,i’ve met him yeah a couple times but it’s um through the stark internship mm hmm yeah well i’m not really supposed to talk about it,i’ve met yeah couple times it’s um stark internship mm hmm yeah well i’m really supposed talk,i’v met yeah coupl time it’ um stark internship mm hmm yeah well i’m realli suppos talk
10544,peter parker,hero,spider-man: homecoming,having a party,party,parti
10546,peter parker,hero,spider-man: homecoming,um,um,um
10549,peter parker,hero,spider-man: homecoming,what are you doing,,
10556,peter parker,hero,spider-man: homecoming,this is a mistake hey let’s just go home,mistake hey let’s go home,mistak hey let’ go home
10558,peter parker,hero,spider-man: homecoming,uh huh,uh huh,uh huh
10561,peter parker,hero,spider-man: homecoming,yeah let’s do it yeah i’m gonna go i’m gonna go,yeah let’s yeah i’m gonna go i’m gonna go,yeah let’ yeah i’m gonna go i’m gonna go
10563,peter parker,hero,spider-man: homecoming,i will,,
10566,peter parker,hero,spider-man: homecoming,yeah,yeah,yeah
10577,peter parker,hero,spider-man: homecoming,hi liz,hi liz,hi liz
10579,peter parker,hero,spider-man: homecoming,what a great party,great party,great parti
10581,peter parker,hero,spider-man: homecoming,yeah,yeah,yeah
10586,peter parker,hero,spider-man: homecoming,no no no i can’t i cannot do this spider man is not a party trick okay look i’m just gonna be myself,can’t cannot spider man party trick okay look i’m gonna,can’t cannot spider man parti trick okay look i’m gonna
10588,peter parker,hero,spider-man: homecoming,dude,dude,dude
10590,peter parker,hero,spider-man: homecoming,hey what’s up i’m spider man just thought i’d swing by and say hello to my buddy peter oh what’s up ned hey where’s peter anyways he must be around god this is stupid what am i doing what the hell this sucks,hey what’s i’m spider man thought i’d swing say hello buddy peter oh what’s ned hey where’s peter anyways must around god stupid hell sucks,hey what’ i’m spider man thought i’d swing say hello buddi peter oh what’ ned hey where’ peter anyway must around god stupid hell suck
10595,peter parker,hero,spider-man: homecoming,oh this must be where the atm robbers got their stuff,oh must atm robbers got stuff,oh must atm robber got stuff
10602,peter parker,hero,spider-man: homecoming,hey hey come on you gonna shoot at somebody shoot at me,hey hey come gonna shoot somebody shoot,hey hey come gonna shoot somebodi shoot
10604,peter parker,hero,spider-man: homecoming,what was that what ah,ah,ah
10611,peter parker,hero,spider-man: homecoming,oh my butt unh great guess i’m gonna have to take a shortcut hey guys good game have fun hey hey buddy sorry no time to play here go fetch whoo now this is more like it whoa whoa whoa whoa smells really good great movie ugh oh hey guys,oh butt unh great guess i’m gonna take shortcut hey guys good game fun hey hey buddy sorry time play go fetch whoo like whoa whoa whoa whoa smells really good great movie ugh oh hey guys,oh butt unh great guess i’m gonna take shortcut hey guy good game fun hey hey buddi sorri time play go fetch whoo like whoa whoa whoa whoa smell realli good great movi ugh oh hey guy
10613,peter parker,hero,spider-man: homecoming,no no hey it’s peter leave a message,hey it’s peter leave message,hey it’ peter leav messag
10615,peter parker,hero,spider-man: homecoming,almost got you thought you got away from me didn’t you i got you right where i want you surprise what the hell aahhhh huh oh hey and then he just he just like swooped down like a monster and he picked me up and uh he took me up like a thousand feet and just dropped me how’d you find me did you put a tracker in my suit or something,almost got thought got away didn’t got right want surprise hell aahhhh huh oh hey like swooped like monster picked uh took like thousand feet dropped how’d find put tracker suit something,almost got thought got away didn’t got right want surpris hell aahhhh huh oh hey like swoop like monster pick uh took like thousand feet drop how’d find put tracker suit someth
10616,tony stark,hero,spider-man: homecoming,i put everything in your suit including this heater,put everything suit including heater,put everyth suit includ heater
10617,peter parker,hero,spider-man: homecoming,whoa whew that’s better thanks,whoa whew that’s better thanks,whoa whew that’ better thank
10618,tony stark,hero,spider-man: homecoming,what were you thinking,thinking,think
10619,peter parker,hero,spider-man: homecoming,the guy with the wings is obviously the source of the weapons i gotta take him down,guy wings obviously source weapons gotta take,guy wing obvious sourc weapon gotta take
10620,tony stark,hero,spider-man: homecoming,take him down now huh steady crockett there are people who handle this sort of thing,take huh steady crockett people handle sort thing,take huh steadi crockett peopl handl sort thing
10621,peter parker,hero,spider-man: homecoming,the avengers,avengers,aveng
10622,tony stark,hero,spider-man: homecoming,no no no this is a little below their pay grade,little pay grade,littl pay grade
10623,peter parker,hero,spider-man: homecoming,anyway mr stark you didn’t have to come all the way out here i had that i was fine,anyway mr stark didn’t come way fine,anyway mr stark didn’t come way fine
10624,tony stark,hero,spider-man: homecoming,oh i’m not here thank god this place has wi fi or you would be toast right now thank ganesh while you’re at it cheers look forget the flying vulture guy please,oh i’m thank god place wi fi would toast right thank ganesh you’re cheers look forget flying vulture guy please,oh i’m thank god place wi fi would toast right thank ganesh you’r cheer look forget fli vultur guy pleas
10625,peter parker,hero,spider-man: homecoming,why,,
10626,tony stark,hero,spider-man: homecoming,why because i said so sorry i’m talking to a teenager stay close to the ground build up your game helping little people like that lady that bought you the churro can’t you just be a friendly neighborhood spider man,said sorry i’m talking teenager stay close ground build game helping little people like lady bought churro can’t friendly neighborhood spider man,said sorri i’m talk teenag stay close ground build game help littl peopl like ladi bought churro can’t friendli neighborhood spider man
10627,peter parker,hero,spider-man: homecoming,but i’m ready for more than that now,i’m ready,i’m readi
10628,tony stark,hero,spider-man: homecoming,no you are not,,
10629,peter parker,hero,spider-man: homecoming,that is not what you thought when i took on captain america,thought took captain america,thought took captain america
10630,tony stark,hero,spider-man: homecoming,trust me kid if cap wanted to lay you out he would’ve listen to me if you come across these weapons again call happy,trust kid cap wanted lay would’ve listen come across weapons call happy,trust kid cap want lay would’v listen come across weapon call happi
10631,peter parker,hero,spider-man: homecoming,are you driving,driving,drive
10632,tony stark,hero,spider-man: homecoming,you know it’s never too early to start thinking about college i got some pull at mit end call,know it’s never early start thinking college got pull mit end call,know it’ never earli start think colleg got pull mit end call
10633,peter parker,hero,spider-man: homecoming,no i don’t need to go to col mr stark,don’t need go col mr stark,don’t need go col mr stark
10635,peter parker,hero,spider-man: homecoming,that’s awesome stay close to the ground what is he talking about whoa hey man what’s up i’m on my way back,that’s awesome stay close ground talking whoa hey man what’s i’m way back,that’ awesom stay close ground talk whoa hey man what’ i’m way back
10642,peter parker,hero,spider-man: homecoming,i’ll see you tomorrow in school,i’ll see tomorrow school,i’ll see tomorrow school
10674,peter parker,hero,spider-man: homecoming,oh,oh,oh
10676,peter parker,hero,spider-man: homecoming,yeah well something came up,yeah well something came,yeah well someth came
10678,peter parker,hero,spider-man: homecoming,i don’t know some guy tried to vaporize me with it,don’t know guy tried vaporize,don’t know guy tri vapor
10680,peter parker,hero,spider-man: homecoming,yeah,yeah,yeah
10682,peter parker,hero,spider-man: homecoming,well look i think it’s a power source,well look think it’s power source,well look think it’ power sourc
10684,peter parker,hero,spider-man: homecoming,whoever’s making these weapons is obviously combining alien tech with ours,whoever’s making weapons obviously combining alien tech,whoever’ make weapon obvious combin alien tech
10687,peter parker,hero,spider-man: homecoming,i gotta figure out what this thing is and who makes it,gotta figure thing makes,gotta figur thing make
10689,peter parker,hero,spider-man: homecoming,let’s do it,let’s,let’
10691,peter parker,hero,spider-man: homecoming,first we gotta come up with a better name than glowy thingy,first gotta come better name glowy thingy,first gotta come better name glowi thingi
10693,peter parker,hero,spider-man: homecoming,crap come on come on come on come on come on come on,crap come come come come come come,crap come come come come come come
10695,peter parker,hero,spider-man: homecoming,hey that’s one of the guys that tried to kill me,hey that’s one guys tried kill,hey that’ one guy tri kill
10697,peter parker,hero,spider-man: homecoming,yeah,yeah,yeah
10699,peter parker,hero,spider-man: homecoming,no no no no no i gotta follow them maybe they can lead me to the guy that dropped me in the lake,gotta follow maybe lead guy dropped lake,gotta follow mayb lead guy drop lake
10701,peter parker,hero,spider-man: homecoming,yeah it was not good,yeah good,yeah good
10703,peter parker,hero,spider-man: homecoming,no stay there ned,stay ned,stay ned
10715,peter parker,hero,spider-man: homecoming,i know right they’re in brooklyn,know right they’re brooklyn,know right they’r brooklyn
10717,peter parker,hero,spider-man: homecoming,maryland,maryland,maryland
10719,peter parker,hero,spider-man: homecoming,i don’t know evil lair,don’t know evil lair,don’t know evil lair
10721,peter parker,hero,spider-man: homecoming,dude a gang with alien guns run by a guy with wings yeah they have a lair,dude gang alien guns run guy wings yeah lair,dude gang alien gun run guy wing yeah lair
10723,peter parker,hero,spider-man: homecoming,it’s not too far from d c,it’s far c,it’ far c
10725,peter parker,hero,spider-man: homecoming,guys,guys,guy
10728,peter parker,hero,spider-man: homecoming,yeah i was hoping maybe i could rejoin the team,yeah hoping maybe could rejoin team,yeah hope mayb could rejoin team
10742,peter parker,hero,spider-man: homecoming,uh strontium barium vibranium,uh strontium barium vibranium,uh strontium barium vibranium
10744,peter parker,hero,spider-man: homecoming,glad to be back,glad back,glad back
10746,peter parker,hero,spider-man: homecoming,can i take this real quick i’ll only be a sec,take real quick i’ll sec,take real quick i’ll sec
10748,peter parker,hero,spider-man: homecoming,hello,hello,hello
10751,peter parker,hero,spider-man: homecoming,tracker uh yeah no it’s just a school trip it’s uh it’s nothing look happy i gotta say you tracking me without my permission is a complete violation of my privacy that’s different,tracker uh yeah it’s school trip it’s uh it’s nothing look happy gotta say tracking without permission complete violation privacy that’s different,tracker uh yeah it’ school trip it’ uh it’ noth look happi gotta say track without permiss complet violat privaci that’ differ
10753,peter parker,hero,spider-man: homecoming,nothing look it’s just the academic decathlon it’s no big deal,nothing look it’s academic decathlon it’s big deal,noth look it’ academ decathlon it’ big deal
10760,peter parker,hero,spider-man: homecoming,hey you brought your laptop right,hey brought laptop right,hey brought laptop right
10762,peter parker,hero,spider-man: homecoming,uh because i gotta follow these guys to their boss before they move again and i don’t really want mr stark to know about it,uh gotta follow guys boss move don’t really want mr stark know,uh gotta follow guy boss move don’t realli want mr stark know
10764,peter parker,hero,spider-man: homecoming,no i’m not lying he just doesn’t really get what i can do yet ah gotcha all right happy enjoy tracking this lamp,i’m lying doesn’t really get yet ah gotcha right happy enjoy tracking lamp,i’m lie doesn’t realli get yet ah gotcha right happi enjoy track lamp
10766,peter parker,hero,spider-man: homecoming,hmm,hmm,hmm
10768,peter parker,hero,spider-man: homecoming,what training wheels protocol turn it off,training wheels protocol turn,train wheel protocol turn
10770,peter parker,hero,spider-man: homecoming,come on man i don’t need training wheels i’m sick of him treating me like a kid all the time it’s not cool,come man don’t need training wheels i’m sick treating like kid time it’s cool,come man don’t need train wheel i’m sick treat like kid time it’ cool
10772,peter parker,hero,spider-man: homecoming,yeah a kid who can stop a bus with his bare hands,yeah kid stop bus bare hands,yeah kid stop bu bare hand
10774,peter parker,hero,spider-man: homecoming,look please this is my chance to prove myself i can handle it ned come on,look please chance prove handle ned come,look pleas chanc prove handl ned come
10776,peter parker,hero,spider-man: homecoming,the guy in the chair,guy chair,guy chair
10778,peter parker,hero,spider-man: homecoming,come on yeah the glowy thing it’s evidence keep it safe all right,come yeah glowy thing it’s evidence keep safe right,come yeah glowi thing it’ evid keep safe right
10780,peter parker,hero,spider-man: homecoming,they’re moving,they’re moving,they’r move
10782,peter parker,hero,spider-man: homecoming,hey liz,hey liz,hey liz
10784,peter parker,hero,spider-man: homecoming,what,,
10787,peter parker,hero,spider-man: homecoming,hey i was uh i was gonna go study um in the business center,hey uh gonna go study um business center,hey uh gonna go studi um busi center
10789,peter parker,hero,spider-man: homecoming,hmm,hmm,hmm
10791,peter parker,hero,spider-man: homecoming,wow you really this is really important to you,wow really really important,wow realli realli import
10797,peter parker,hero,spider-man: homecoming,hello hello,hello hello,hello hello
10799,peter parker,hero,spider-man: homecoming,ah thank you,ah thank,ah thank
10801,peter parker,hero,spider-man: homecoming,i i put a tracker on someone he’s a bad guy,put tracker someone he’s bad guy,put tracker someon he’ bad guy
10803,peter parker,hero,spider-man: homecoming,okay well as long as i make it back in time for decathlon it’s fine,okay well long make back time decathlon it’s fine,okay well long make back time decathlon it’ fine
10805,peter parker,hero,spider-man: homecoming,why is their secret lair in a gas station that’s so lame hey suit lady what are they doing,secret lair gas station that’s lame hey suit lady,secret lair ga station that’ lame hey suit ladi
10807,peter parker,hero,spider-man: homecoming,i can hear what they’re saying uh yeah,hear they’re saying uh yeah,hear they’r say uh yeah
10810,peter parker,hero,spider-man: homecoming,whoa that’s so cool,whoa that’s cool,whoa that’ cool
10814,peter parker,hero,spider-man: homecoming,whoa they’re in the middle of a heist i could catch them all red handed this is awesome okay i’m gonna get a little closer so i can see what’s happening,whoa they’re middle heist could catch red handed awesome okay i’m gonna get little closer see what’s happening,whoa they’r middl heist could catch red hand awesom okay i’m gonna get littl closer see what’ happen
10816,peter parker,hero,spider-man: homecoming,uh enhanced combat mode yeah,uh enhanced combat mode yeah,uh enhanc combat mode yeah
10818,peter parker,hero,spider-man: homecoming,no no no no no no no i don’t want to kill anybody,don’t want kill anybody,don’t want kill anybodi
10821,peter parker,hero,spider-man: homecoming,what the hell just happened what was that,hell happened,hell happen
10823,peter parker,hero,spider-man: homecoming,suit lady what’s wrong with my web shooters,suit lady what’s wrong web shooters,suit ladi what’ wrong web shooter
10825,peter parker,hero,spider-man: homecoming,why would i need rapid fire,would need rapid fire,would need rapid fire
10827,peter parker,hero,spider-man: homecoming,whoa mr stark really overdid it,whoa mr stark really overdid,whoa mr stark realli overdid
10831,peter parker,hero,spider-man: homecoming,that one,one,one
10833,peter parker,hero,spider-man: homecoming,no no no,,
10839,peter parker,hero,spider-man: homecoming,what was that,,
10841,peter parker,hero,spider-man: homecoming,taser webs i don’t want taser webs,taser webs don’t want taser webs,taser web don’t want taser web
10843,peter parker,hero,spider-man: homecoming,no just you choose,choose,choos
10849,peter parker,hero,spider-man: homecoming,oh that’s him,oh that’s,oh that’
10855,peter parker,hero,spider-man: homecoming,whoa cool it’s some kind of matter phase shifter,whoa cool it’s kind matter phase shifter,whoa cool it’ kind matter phase shifter
10857,peter parker,hero,spider-man: homecoming,hey big bird this doesn’t belong to you oh god suit lady what was that,hey big bird doesn’t belong oh god suit lady,hey big bird doesn’t belong oh god suit ladi
10859,peter parker,hero,spider-man: homecoming,what no just set everything back to normal,set everything back normal,set everyth back normal
10861,peter parker,hero,spider-man: homecoming,oh my head,oh head,oh head
10863,peter parker,hero,spider-man: homecoming,hey so where am i right now,hey right,hey right
10865,peter parker,hero,spider-man: homecoming,wait a minute they must have hijacked the truck and taken me to their evil lair okay suit lady we’re gonna have to fight our way out of this one three two one what is this place suit lady where am i,wait minute must hijacked truck taken evil lair okay suit lady we’re gonna fight way one three two one place suit lady,wait minut must hijack truck taken evil lair okay suit ladi we’r gonna fight way one three two one place suit ladi
10867,peter parker,hero,spider-man: homecoming,no seriously,seriously,serious
10869,peter parker,hero,spider-man: homecoming,morning hey suit lady i kind of feel bad calling you suit lady you know i think i should probably give you a name like liz no no no god that’s that’s weird what about karen,morning hey suit lady kind feel bad calling suit lady know think probably give name like liz god that’s that’s weird karen,morn hey suit ladi kind feel bad call suit ladi know think probabl give name like liz god that’ that’ weird karen
10871,peter parker,hero,spider-man: homecoming,hey karen what else can this suit do what maybe we should run that refresher course,hey karen else suit maybe run refresher course,hey karen els suit mayb run refresh cours
10873,peter parker,hero,spider-man: homecoming,ricochet web whoa cool,ricochet web whoa cool,ricochet web whoa cool
10875,peter parker,hero,spider-man: homecoming,web grenade should i tell liz that i’m spider man,web grenade tell liz i’m spider man,web grenad tell liz i’m spider man
10877,peter parker,hero,spider-man: homecoming,who is liz she’s heh she’s the best she’s awesome she uh she’s just a girl who goes to my school and uh yeah i just i really want to tell her but it’s kind of weird you know hey i’m i’m spider man,liz she’s heh she’s best she’s awesome uh she’s girl goes school uh yeah really want tell it’s kind weird know hey i’m i’m spider man,liz she’ heh she’ best she’ awesom uh she’ girl goe school uh yeah realli want tell it’ kind weird know hey i’m i’m spider man
10879,peter parker,hero,spider-man: homecoming,what if she’s expecting someone like tony stark i mean imagine how disappointed she’d be when she sees me,she’s expecting someone like tony stark mean imagine disappointed she’d sees,she’ expect someon like toni stark mean imagin disappoint she’d see
10881,peter parker,hero,spider-man: homecoming,thanks karen it’s really nice to have somebody to talk to hey how long we been here anyways,thanks karen it’s really nice somebody talk hey long anyways,thank karen it’ realli nice somebodi talk hey long anyway
10883,peter parker,hero,spider-man: homecoming,what thirty seven minutes that’s insane i cannot take this anymore i gotta i gotta get out of here there’s got to be something in here i can use okay let’s see nope that’s awesome ah hey it’s like the glowy thing,thirty seven minutes that’s insane cannot take anymore gotta gotta get there’s got something use okay let’s see nope that’s awesome ah hey it’s like glowy thing,thirti seven minut that’ insan cannot take anymor gotta gotta get there’ got someth use okay let’ see nope that’ awesom ah hey it’ like glowi thing
10885,peter parker,hero,spider-man: homecoming,whoa whoa whoa whoa you mean we’ve been carrying around a bomb,whoa whoa whoa whoa mean we’ve carrying around bomb,whoa whoa whoa whoa mean we’v carri around bomb
10887,peter parker,hero,spider-man: homecoming,no no no no no hey please please somebody let me out hey karen you have to help me override that time lock okay karen lower the voltage and run it,hey please please somebody let hey karen help override time lock okay karen lower voltage run,hey pleas pleas somebodi let hey karen help overrid time lock okay karen lower voltag run
10889,peter parker,hero,spider-man: homecoming,okay we’re just gonna have to try every sequence,okay we’re gonna try every sequence,okay we’r gonna tri everi sequenc
10893,peter parker,hero,spider-man: homecoming,it worked it works,worked works,work work
10896,peter parker,hero,spider-man: homecoming,karen you have to get me to decathlon as fast as possible,karen get decathlon fast possible,karen get decathlon fast possibl
10898,peter parker,hero,spider-man: homecoming,right across the street from the washington monument,right across street washington monument,right across street washington monument
10900,peter parker,hero,spider-man: homecoming,ned call me back the glowy thing is a bomb,ned call back glowy thing bomb,ned call back glowi thing bomb
10913,peter parker,hero,spider-man: homecoming,oh ned you’re alive,oh ned you’re alive,oh ned you’r aliv
10915,peter parker,hero,spider-man: homecoming,ned ned where’s the glowy thing the glowy thing,ned ned where’s glowy thing glowy thing,ned ned where’ glowi thing glowi thing
10917,peter parker,hero,spider-man: homecoming,no ned listen no no ned the glowy thing is dangerous,ned listen ned glowy thing dangerous,ned listen ned glowi thing danger
10919,peter parker,hero,spider-man: homecoming,ned listen to me,ned listen,ned listen
10922,peter parker,hero,spider-man: homecoming,oh hey liz,oh hey liz,oh hey liz
10924,peter parker,hero,spider-man: homecoming,please put ned back on the phone,please put ned back phone,pleas put ned back phone
10927,peter parker,hero,spider-man: homecoming,liz i have to talk to ned it’s really important,liz talk ned it’s really important,liz talk ned it’ realli import
10929,peter parker,hero,spider-man: homecoming,liz there’s something in ned’s backpack it’s really dangerous don’t let it go through an x ray liz liz damn it,liz there’s something ned’s backpack it’s really dangerous don’t let go x ray liz liz damn,liz there’ someth ned’ backpack it’ realli danger don’t let go x ray liz liz damn
10933,peter parker,hero,spider-man: homecoming,no no no no no no karen what’s going on up there,karen what’s going,karen what’ go
10935,peter parker,hero,spider-man: homecoming,oh no,oh,oh
10937,peter parker,hero,spider-man: homecoming,what uh don’t worry ma’am everything’s gonna be okay excuse me excuse me oh my god that’s tall,uh don’t worry ma’am everything’s gonna okay excuse excuse oh god that’s tall,uh don’t worri ma’am everything’ gonna okay excus excus oh god that’ tall
10947,peter parker,hero,spider-man: homecoming,i'm going as fast as i can,i'm going fast,i'm go fast
10950,peter parker,hero,spider-man: homecoming,what why,,
10952,peter parker,hero,spider-man: homecoming,how do i get in there,get,get
10954,peter parker,hero,spider-man: homecoming,whoa has that been there the whole time that’s awesome,whoa whole time that’s awesome,whoa whole time that’ awesom
10956,peter parker,hero,spider-man: homecoming,karen i'm on my way ah okay oh my god okay,karen i'm way ah okay oh god okay,karen i'm way ah okay oh god okay
10958,peter parker,hero,spider-man: homecoming,it’s fine it’s just i've just never been this high before,it’s fine it’s i've never high,it’ fine it’ i'v never high
10960,peter parker,hero,spider-man: homecoming,perfect oh my god why is it not breaking,perfect oh god breaking,perfect oh god break
10963,peter parker,hero,spider-man: homecoming,my friends are in there my friends are in there stop,friends friends stop,friend friend stop
10972,peter parker,hero,spider-man: homecoming,i got this,got,got
10975,peter parker,hero,spider-man: homecoming,oh i'm gonna die break,oh i'm gonna die break,oh i'm gonna die break
10977,peter parker,hero,spider-man: homecoming,i did it whoa ahem hey how you doing don't worry about it i got you,whoa ahem hey worry got,whoa ahem hey worri got
10979,peter parker,hero,spider-man: homecoming,hey hey hey hey hey hey big guy quit moving around,hey hey hey hey hey hey big guy quit moving around,hey hey hey hey hey hey big guy quit move around
10983,peter parker,hero,spider-man: homecoming,alright this is your stop,alright stop,alright stop
10985,peter parker,hero,spider-man: homecoming,go go go everybody out move it people move it move it,go go go everybody move people move move,go go go everybodi move peopl move move
10988,peter parker,hero,spider-man: homecoming,you’re okay you’re okay okay,you’re okay you’re okay okay,you’r okay you’r okay okay
10991,peter parker,hero,spider-man: homecoming,so uh is everyone okay,uh everyone okay,uh everyon okay
11015,peter parker,hero,spider-man: homecoming,crazy dude,crazy dude,crazi dude
11017,peter parker,hero,spider-man: homecoming,no,,
11019,peter parker,hero,spider-man: homecoming,no dude no that’s not a good idea,dude that’s good idea,dude that’ good idea
11021,peter parker,hero,spider-man: homecoming,i’m not going to class,i’m going class,i’m go class
11023,peter parker,hero,spider-man: homecoming,dude listen i figured it out right the wing suit guy is stealing from damage control and what he takes from damage control that’s how he builds the weapons so all i gotta do is catch him,dude listen figured right wing suit guy stealing damage control takes damage control that’s builds weapons gotta catch,dude listen figur right wing suit guy steal damag control take damag control that’ build weapon gotta catch
11025,peter parker,hero,spider-man: homecoming,ned i'm probably never gonna come back here mr stark is moving the avengers upstate so when i bring this guy in,ned i'm probably never gonna come back mr stark moving avengers upstate bring guy,ned i'm probabl never gonna come back mr stark move aveng upstat bring guy
11027,peter parker,hero,spider-man: homecoming,i am so far beyond high school right now,far beyond high school right,far beyond high school right
11029,steve rogers,hero,spider-man: homecoming,so you got detention you screwed up you know what you did was wrong the question is how are you gonna make things right maybe you were trying to be cool but take it from a guy who's been frozen for years the only way to really be cool is to follow the rules we all know what's right we all know what's wrong next time those turkeys try to convince you of something you know is wrong,got detention screwed know wrong question gonna make things right maybe trying cool take guy who's frozen years way really cool follow rules know what's right know what's wrong next time turkeys try convince something know wrong,got detent screw know wrong question gonna make thing right mayb tri cool take guy who' frozen year way realli cool follow rule know what' right know what' wrong next time turkey tri convinc someth know wrong
11031,steve rogers,hero,spider-man: homecoming,just think to yourself what would captain america do,think would captain america,think would captain america
11034,steve rogers,hero,spider-man: homecoming,so your body's changing believe me i know how that feels,body's changing believe know feels,body' chang believ know feel
11035,peter parker,hero,spider-man: homecoming,may hey karen what's up,may hey karen what's,may hey karen what'
11037,peter parker,hero,spider-man: homecoming,listen i was wondering if you could help me i'm trying to figure out who the guys under the bridge were that night but i mean i can only kind of remember part of a license plate,listen wondering could help i'm trying figure guys bridge night mean kind remember part license plate,listen wonder could help i'm tri figur guy bridg night mean kind rememb part licens plate
11039,peter parker,hero,spider-man: homecoming,footage,footage,footag
11041,peter parker,hero,spider-man: homecoming,everything,everything,everyth
11043,peter parker,hero,spider-man: homecoming,like all the time,like time,like time
11045,peter parker,hero,spider-man: homecoming,yeah of course it is um yeah just roll it back to last friday,yeah course um yeah roll back last friday,yeah cours um yeah roll back last friday
11047,peter parker,hero,spider-man: homecoming,hey everyone yeah kick ass party hey what's up liz peter's told me a lot about you no no no no no no this is just me messing around go later in the day later in the day it is i thor son of odin no no no no no no that's definitely no that's definitely not what we wanted to watch just,hey everyone yeah kick ass party hey what's liz peter's told lot messing around go later day later day thor son odin that's definitely that's definitely wanted watch,hey everyon yeah kick ass parti hey what' liz peter' told lot mess around go later day later day thor son odin that' definit that' definit want watch
11049,peter parker,hero,spider-man: homecoming,fast forward to the arms deal okay the two on the right who are they,fast forward arms deal okay two right,fast forward arm deal okay two right
11051,peter parker,hero,spider-man: homecoming,nothing,nothing,noth
11053,peter parker,hero,spider-man: homecoming,let's pay him a visit,let's pay visit,let' pay visit
11055,peter parker,hero,spider-man: homecoming,uh yeah remember me,uh yeah remember,uh yeah rememb
11057,peter parker,hero,spider-man: homecoming,i need information you're gonna give it to me now,need information gonna give,need inform gonna give
11059,peter parker,hero,spider-man: homecoming,come on,come,come
11061,peter parker,hero,spider-man: homecoming,what do you mean what happened to my voice,mean happened voice,mean happen voic
11063,peter parker,hero,spider-man: homecoming,i'm not a girl i'm a boy i mean i'm a i'm a man,i'm girl i'm boy mean i'm i'm man,i'm girl i'm boy mean i'm i'm man
11065,peter parker,hero,spider-man: homecoming,i'm not a girl i'm a man come on man look who is selling these weapons i need to know give me names or else,i'm girl i'm man come man look selling weapons need know give names else,i'm girl i'm man come man look sell weapon need know give name els
11067,peter parker,hero,spider-man: homecoming,deactivate interrogation mode look man these guys are selling weapons that are crazy dangerous they can't just be out on the streets look if one of them can just cut delmar's bodega in half,deactivate interrogation mode look man guys selling weapons crazy dangerous can't streets look one cut delmar's bodega half,deactiv interrog mode look man guy sell weapon crazi danger can't street look one cut delmar' bodega half
11069,peter parker,hero,spider-man: homecoming,yeah best sandwich in queens,yeah best sandwich queens,yeah best sandwich queen
11071,peter parker,hero,spider-man: homecoming,it's too much bread,much bread,much bread
